"時点","地域コード","地域","（季節調整値）有効求人倍率【倍】","注記"
"1963年1月","00000","全国","0.56",""
"1963年2月","00000","全国","0.60",""
"1963年3月","00000","全国","0.64",""
"1963年4月","00000","全国","0.68",""
"1963年5月","00000","全国","0.71",""
"1963年6月","00000","全国","0.80",""
"1963年7月","00000","全国","0.77",""
"1963年8月","00000","全国","0.72",""
"1963年9月","00000","全国","0.71",""
"1963年10月","00000","全国","0.71",""
"1963年11月","00000","全国","0.72",""
"1963年12月","00000","全国","0.73",""
"1964年1月","00000","全国","0.75",""
"1964年2月","00000","全国","0.76",""
"1964年3月","00000","全国","0.76",""
"1964年4月","00000","全国","0.79",""
"1964年5月","00000","全国","0.81",""
"1964年6月","00000","全国","0.83",""
"1964年7月","00000","全国","0.83",""
"1964年8月","00000","全国","0.82",""
"1964年9月","00000","全国","0.83",""
"1964年10月","00000","全国","0.81",""
"1964年11月","00000","全国","0.79",""
"1964年12月","00000","全国","0.78",""
"1965年1月","00000","全国","0.74",""
"1965年2月","00000","全国","0.71",""
"1965年3月","00000","全国","0.71",""
"1965年4月","00000","全国","0.70",""
"1965年5月","00000","全国","0.66",""
"1965年6月","00000","全国","0.63",""
"1965年7月","00000","全国","0.60",""
"1965年8月","00000","全国","0.58",""
"1965年9月","00000","全国","0.57",""
"1965年10月","00000","全国","0.57",""
"1965年11月","00000","全国","0.56",""
"1965年12月","00000","全国","0.55",""
"1966年1月","00000","全国","0.58",""
"1966年2月","00000","全国","0.62",""
"1966年3月","00000","全国","0.67",""
"1966年4月","00000","全国","0.70",""
"1966年5月","00000","全国","0.71",""
"1966年6月","00000","全国","0.73",""
"1966年7月","00000","全国","0.72",""
"1966年8月","00000","全国","0.78",""
"1966年9月","00000","全国","0.82",""
"1966年10月","00000","全国","0.85",""
"1966年11月","00000","全国","0.85",""
"1966年12月","00000","全国","0.85",""
"1967年1月","00000","全国","0.87",""
"1967年2月","00000","全国","0.90",""
"1967年3月","00000","全国","0.91",""
"1967年4月","00000","全国","0.94",""
"1967年5月","00000","全国","0.97",""
"1967年6月","00000","全国","1.00",""
"1967年7月","00000","全国","1.02",""
"1967年8月","00000","全国","1.08",""
"1967年9月","00000","全国","1.09",""
"1967年10月","00000","全国","1.09",""
"1967年11月","00000","全国","1.11",""
"1967年12月","00000","全国","1.10",""
"1968年1月","00000","全国","1.11",""
"1968年2月","00000","全国","1.09",""
"1968年3月","00000","全国","1.08",""
"1968年4月","00000","全国","1.07",""
"1968年5月","00000","全国","1.09",""
"1968年6月","00000","全国","1.10",""
"1968年7月","00000","全国","1.11",""
"1968年8月","00000","全国","1.12",""
"1968年9月","00000","全国","1.14",""
"1968年10月","00000","全国","1.14",""
"1968年11月","00000","全国","1.17",""
"1968年12月","00000","全国","1.17",""
"1969年1月","00000","全国","1.19",""
"1969年2月","00000","全国","1.20",""
"1969年3月","00000","全国","1.21",""
"1969年4月","00000","全国","1.24",""
"1969年5月","00000","全国","1.25",""
"1969年6月","00000","全国","1.29",""
"1969年7月","00000","全国","1.30",""
"1969年8月","00000","全国","1.33",""
"1969年9月","00000","全国","1.34",""
"1969年10月","00000","全国","1.39",""
"1969年11月","00000","全国","1.41",""
"1969年12月","00000","全国","1.46",""
"1970年1月","00000","全国","1.49",""
"1970年2月","00000","全国","1.47",""
"1970年3月","00000","全国","1.44",""
"1970年4月","00000","全国","1.43",""
"1970年5月","00000","全国","1.43",""
"1970年6月","00000","全国","1.44",""
"1970年7月","00000","全国","1.41",""
"1970年8月","00000","全国","1.39",""
"1970年9月","00000","全国","1.39",""
"1970年10月","00000","全国","1.36",""
"1970年11月","00000","全国","1.33",""
"1970年12月","00000","全国","1.31",""
"1971年1月","00000","全国","1.29",""
"1971年2月","00000","全国","1.23",""
"1971年3月","00000","全国","1.21",""
"1971年4月","00000","全国","1.18",""
"1971年5月","00000","全国","1.15",""
"1971年6月","00000","全国","1.10",""
"1971年7月","00000","全国","1.09",""
"1971年8月","00000","全国","1.07",""
"1971年9月","00000","全国","1.03",""
"1971年10月","00000","全国","1.02",""
"1971年11月","00000","全国","1.00",""
"1971年12月","00000","全国","0.99",""
"1972年1月","00000","全国","0.98",""
"1972年2月","00000","全国","1.02",""
"1972年3月","00000","全国","1.05",""
"1972年4月","00000","全国","1.07",""
"1972年5月","00000","全国","1.08",""
"1972年6月","00000","全国","1.09",""
"1972年7月","00000","全国","1.13",""
"1972年8月","00000","全国","1.19",""
"1972年9月","00000","全国","1.25",""
"1972年10月","00000","全国","1.31",""
"1972年11月","00000","全国","1.36",""
"1972年12月","00000","全国","1.48",""
"1973年1月","00000","全国","1.60",""
"1973年2月","00000","全国","1.65",""
"1973年3月","00000","全国","1.61",""
"1973年4月","00000","全国","1.63",""
"1973年5月","00000","全国","1.74",""
"1973年6月","00000","全国","1.82",""
"1973年7月","00000","全国","1.87",""
"1973年8月","00000","全国","1.86",""
"1973年9月","00000","全国","1.83",""
"1973年10月","00000","全国","1.86",""
"1973年11月","00000","全国","1.93",""
"1973年12月","00000","全国","1.84",""
"1974年1月","00000","全国","1.64",""
"1974年2月","00000","全国","1.53",""
"1974年3月","00000","全国","1.45",""
"1974年4月","00000","全国","1.34",""
"1974年5月","00000","全国","1.35",""
"1974年6月","00000","全国","1.27",""
"1974年7月","00000","全国","1.18",""
"1974年8月","00000","全国","1.09",""
"1974年9月","00000","全国","1.02",""
"1974年10月","00000","全国","0.95",""
"1974年11月","00000","全国","0.88",""
"1974年12月","00000","全国","0.79",""
"1975年1月","00000","全国","0.75",""
"1975年2月","00000","全国","0.71",""
"1975年3月","00000","全国","0.67",""
"1975年4月","00000","全国","0.68",""
"1975年5月","00000","全国","0.63",""
"1975年6月","00000","全国","0.59",""
"1975年7月","00000","全国","0.56",""
"1975年8月","00000","全国","0.55",""
"1975年9月","00000","全国","0.55",""
"1975年10月","00000","全国","0.55",""
"1975年11月","00000","全国","0.55",""
"1975年12月","00000","全国","0.55",""
"1976年1月","00000","全国","0.58",""
"1976年2月","00000","全国","0.61",""
"1976年3月","00000","全国","0.63",""
"1976年4月","00000","全国","0.65",""
"1976年5月","00000","全国","0.64",""
"1976年6月","00000","全国","0.66",""
"1976年7月","00000","全国","0.67",""
"1976年8月","00000","全国","0.67",""
"1976年9月","00000","全国","0.66",""
"1976年10月","00000","全国","0.64",""
"1976年11月","00000","全国","0.64",""
"1976年12月","00000","全国","0.62",""
"1977年1月","00000","全国","0.61",""
"1977年2月","00000","全国","0.60",""
"1977年3月","00000","全国","0.60",""
"1977年4月","00000","全国","0.61",""
"1977年5月","00000","全国","0.56",""
"1977年6月","00000","全国","0.54",""
"1977年7月","00000","全国","0.53",""
"1977年8月","00000","全国","0.53",""
"1977年9月","00000","全国","0.53",""
"1977年10月","00000","全国","0.53",""
"1977年11月","00000","全国","0.52",""
"1977年12月","00000","全国","0.52",""
"1978年1月","00000","全国","0.51",""
"1978年2月","00000","全国","0.53",""
"1978年3月","00000","全国","0.54",""
"1978年4月","00000","全国","0.57",""
"1978年5月","00000","全国","0.54",""
"1978年6月","00000","全国","0.54",""
"1978年7月","00000","全国","0.56",""
"1978年8月","00000","全国","0.57",""
"1978年9月","00000","全国","0.59",""
"1978年10月","00000","全国","0.59",""
"1978年11月","00000","全国","0.60",""
"1978年12月","00000","全国","0.60",""
"1979年1月","00000","全国","0.62",""
"1979年2月","00000","全国","0.63",""
"1979年3月","00000","全国","0.66",""
"1979年4月","00000","全国","0.70",""
"1979年5月","00000","全国","0.69",""
"1979年6月","00000","全国","0.71",""
"1979年7月","00000","全国","0.72",""
"1979年8月","00000","全国","0.73",""
"1979年9月","00000","全国","0.75",""
"1979年10月","00000","全国","0.77",""
"1979年11月","00000","全国","0.78",""
"1979年12月","00000","全国","0.79",""
"1980年1月","00000","全国","0.77",""
"1980年2月","00000","全国","0.76",""
"1980年3月","00000","全国","0.77",""
"1980年4月","00000","全国","0.77",""
"1980年5月","00000","全国","0.76",""
"1980年6月","00000","全国","0.77",""
"1980年7月","00000","全国","0.76",""
"1980年8月","00000","全国","0.74",""
"1980年9月","00000","全国","0.73",""
"1980年10月","00000","全国","0.73",""
"1980年11月","00000","全国","0.71",""
"1980年12月","00000","全国","0.70",""
"1981年1月","00000","全国","0.69",""
"1981年2月","00000","全国","0.68",""
"1981年3月","00000","全国","0.67",""
"1981年4月","00000","全国","0.67",""
"1981年5月","00000","全国","0.67",""
"1981年6月","00000","全国","0.68",""
"1981年7月","00000","全国","0.70",""
"1981年8月","00000","全国","0.69",""
"1981年9月","00000","全国","0.68",""
"1981年10月","00000","全国","0.67",""
"1981年11月","00000","全国","0.66",""
"1981年12月","00000","全国","0.67",""
"1982年1月","00000","全国","0.66",""
"1982年2月","00000","全国","0.65",""
"1982年3月","00000","全国","0.63",""
"1982年4月","00000","全国","0.62",""
"1982年5月","00000","全国","0.60",""
"1982年6月","00000","全国","0.60",""
"1982年7月","00000","全国","0.60",""
"1982年8月","00000","全国","0.60",""
"1982年9月","00000","全国","0.60",""
"1982年10月","00000","全国","0.60",""
"1982年11月","00000","全国","0.59",""
"1982年12月","00000","全国","0.59",""
"1983年1月","00000","全国","0.59",""
"1983年2月","00000","全国","0.59",""
"1983年3月","00000","全国","0.59",""
"1983年4月","00000","全国","0.59",""
"1983年5月","00000","全国","0.59",""
"1983年6月","00000","全国","0.59",""
"1983年7月","00000","全国","0.59",""
"1983年8月","00000","全国","0.60",""
"1983年9月","00000","全国","0.61",""
"1983年10月","00000","全国","0.62",""
"1983年11月","00000","全国","0.62",""
"1983年12月","00000","全国","0.63",""
"1984年1月","00000","全国","0.64",""
"1984年2月","00000","全国","0.64",""
"1984年3月","00000","全国","0.64",""
"1984年4月","00000","全国","0.64",""
"1984年5月","00000","全国","0.64",""
"1984年6月","00000","全国","0.64",""
"1984年7月","00000","全国","0.65",""
"1984年8月","00000","全国","0.65",""
"1984年9月","00000","全国","0.66",""
"1984年10月","00000","全国","0.66",""
"1984年11月","00000","全国","0.66",""
"1984年12月","00000","全国","0.67",""
"1985年1月","00000","全国","0.68",""
"1985年2月","00000","全国","0.69",""
"1985年3月","00000","全国","0.68",""
"1985年4月","00000","全国","0.69",""
"1985年5月","00000","全国","0.69",""
"1985年6月","00000","全国","0.69",""
"1985年7月","00000","全国","0.69",""
"1985年8月","00000","全国","0.68",""
"1985年9月","00000","全国","0.68",""
"1985年10月","00000","全国","0.67",""
"1985年11月","00000","全国","0.67",""
"1985年12月","00000","全国","0.67",""
"1986年1月","00000","全国","0.67",""
"1986年2月","00000","全国","0.66",""
"1986年3月","00000","全国","0.65",""
"1986年4月","00000","全国","0.63",""
"1986年5月","00000","全国","0.62",""
"1986年6月","00000","全国","0.60",""
"1986年7月","00000","全国","0.60",""
"1986年8月","00000","全国","0.61",""
"1986年9月","00000","全国","0.61",""
"1986年10月","00000","全国","0.61",""
"1986年11月","00000","全国","0.61",""
"1986年12月","00000","全国","0.61",""
"1987年1月","00000","全国","0.62",""
"1987年2月","00000","全国","0.63",""
"1987年3月","00000","全国","0.64",""
"1987年4月","00000","全国","0.64",""
"1987年5月","00000","全国","0.65",""
"1987年6月","00000","全国","0.66",""
"1987年7月","00000","全国","0.68",""
"1987年8月","00000","全国","0.71",""
"1987年9月","00000","全国","0.74",""
"1987年10月","00000","全国","0.77",""
"1987年11月","00000","全国","0.81",""
"1987年12月","00000","全国","0.84",""
"1988年1月","00000","全国","0.87",""
"1988年2月","00000","全国","0.90",""
"1988年3月","00000","全国","0.92",""
"1988年4月","00000","全国","0.95",""
"1988年5月","00000","全国","0.98",""
"1988年6月","00000","全国","1.01",""
"1988年7月","00000","全国","1.04",""
"1988年8月","00000","全国","1.06",""
"1988年9月","00000","全国","1.08",""
"1988年10月","00000","全国","1.10",""
"1988年11月","00000","全国","1.12",""
"1988年12月","00000","全国","1.14",""
"1989年1月","00000","全国","1.15",""
"1989年2月","00000","全国","1.17",""
"1989年3月","00000","全国","1.17",""
"1989年4月","00000","全国","1.19",""
"1989年5月","00000","全国","1.25",""
"1989年6月","00000","全国","1.27",""
"1989年7月","00000","全国","1.30",""
"1989年8月","00000","全国","1.29",""
"1989年9月","00000","全国","1.30",""
"1989年10月","00000","全国","1.31",""
"1989年11月","00000","全国","1.33",""
"1989年12月","00000","全国","1.33",""
"1990年1月","00000","全国","1.33",""
"1990年2月","00000","全国","1.36",""
"1990年3月","00000","全国","1.36",""
"1990年4月","00000","全国","1.35",""
"1990年5月","00000","全国","1.39",""
"1990年6月","00000","全国","1.42",""
"1990年7月","00000","全国","1.46",""
"1990年8月","00000","全国","1.44",""
"1990年9月","00000","全国","1.44",""
"1990年10月","00000","全国","1.44",""
"1990年11月","00000","全国","1.45",""
"1990年12月","00000","全国","1.44",""
"1991年1月","00000","全国","1.43",""
"1991年2月","00000","全国","1.44",""
"1991年3月","00000","全国","1.44",""
"1991年4月","00000","全国","1.41",""
"1991年5月","00000","全国","1.44",""
"1991年6月","00000","全国","1.44",""
"1991年7月","00000","全国","1.44",""
"1991年8月","00000","全国","1.40",""
"1991年9月","00000","全国","1.36",""
"1991年10月","00000","全国","1.36",""
"1991年11月","00000","全国","1.34",""
"1991年12月","00000","全国","1.31",""
"1992年1月","00000","全国","1.25",""
"1992年2月","00000","全国","1.22",""
"1992年3月","00000","全国","1.19",""
"1992年4月","00000","全国","1.14",""
"1992年5月","00000","全国","1.13",""
"1992年6月","00000","全国","1.10",""
"1992年7月","00000","全国","1.08",""
"1992年8月","00000","全国","1.05",""
"1992年9月","00000","全国","1.02",""
"1992年10月","00000","全国","0.99",""
"1992年11月","00000","全国","0.96",""
"1992年12月","00000","全国","0.93",""
"1993年1月","00000","全国","0.91",""
"1993年2月","00000","全国","0.88",""
"1993年3月","00000","全国","0.85",""
"1993年4月","00000","全国","0.82",""
"1993年5月","00000","全国","0.80",""
"1993年6月","00000","全国","0.76",""
"1993年7月","00000","全国","0.74",""
"1993年8月","00000","全国","0.72",""
"1993年9月","00000","全国","0.70",""
"1993年10月","00000","全国","0.68",""
"1993年11月","00000","全国","0.67",""
"1993年12月","00000","全国","0.66",""
"1994年1月","00000","全国","0.65",""
"1994年2月","00000","全国","0.64",""
"1994年3月","00000","全国","0.65",""
"1994年4月","00000","全国","0.65",""
"1994年5月","00000","全国","0.63",""
"1994年6月","00000","全国","0.63",""
"1994年7月","00000","全国","0.63",""
"1994年8月","00000","全国","0.64",""
"1994年9月","00000","全国","0.65",""
"1994年10月","00000","全国","0.65",""
"1994年11月","00000","全国","0.64",""
"1994年12月","00000","全国","0.63",""
"1995年1月","00000","全国","0.64",""
"1995年2月","00000","全国","0.65",""
"1995年3月","00000","全国","0.66",""
"1995年4月","00000","全国","0.65",""
"1995年5月","00000","全国","0.63",""
"1995年6月","00000","全国","0.62",""
"1995年7月","00000","全国","0.61",""
"1995年8月","00000","全国","0.62",""
"1995年9月","00000","全国","0.62",""
"1995年10月","00000","全国","0.62",""
"1995年11月","00000","全国","0.62",""
"1995年12月","00000","全国","0.63",""
"1996年1月","00000","全国","0.65",""
"1996年2月","00000","全国","0.66",""
"1996年3月","00000","全国","0.68",""
"1996年4月","00000","全国","0.69",""
"1996年5月","00000","全国","0.69",""
"1996年6月","00000","全国","0.70",""
"1996年7月","00000","全国","0.72",""
"1996年8月","00000","全国","0.72",""
"1996年9月","00000","全国","0.72",""
"1996年10月","00000","全国","0.73",""
"1996年11月","00000","全国","0.74",""
"1996年12月","00000","全国","0.74",""
"1997年1月","00000","全国","0.74",""
"1997年2月","00000","全国","0.74",""
"1997年3月","00000","全国","0.74",""
"1997年4月","00000","全国","0.74",""
"1997年5月","00000","全国","0.74",""
"1997年6月","00000","全国","0.74",""
"1997年7月","00000","全国","0.74",""
"1997年8月","00000","全国","0.73",""
"1997年9月","00000","全国","0.71",""
"1997年10月","00000","全国","0.70",""
"1997年11月","00000","全国","0.68",""
"1997年12月","00000","全国","0.67",""
"1998年1月","00000","全国","0.63",""
"1998年2月","00000","全国","0.61",""
"1998年3月","00000","全国","0.57",""
"1998年4月","00000","全国","0.56",""
"1998年5月","00000","全国","0.54",""
"1998年6月","00000","全国","0.52",""
"1998年7月","00000","全国","0.51",""
"1998年8月","00000","全国","0.50",""
"1998年9月","00000","全国","0.49",""
"1998年10月","00000","全国","0.48",""
"1998年11月","00000","全国","0.47",""
"1998年12月","00000","全国","0.47",""
"1999年1月","00000","全国","0.48",""
"1999年2月","00000","全国","0.48",""
"1999年3月","00000","全国","0.48",""
"1999年4月","00000","全国","0.47",""
"1999年5月","00000","全国","0.46",""
"1999年6月","00000","全国","0.46",""
"1999年7月","00000","全国","0.47",""
"1999年8月","00000","全国","0.47",""
"1999年9月","00000","全国","0.48",""
"1999年10月","00000","全国","0.49",""
"1999年11月","00000","全国","0.49",""
"1999年12月","00000","全国","0.50",""
"2000年1月","00000","全国","0.51",""
"2000年2月","00000","全国","0.52",""
"2000年3月","00000","全国","0.54",""
"2000年4月","00000","全国","0.56",""
"2000年5月","00000","全国","0.56",""
"2000年6月","00000","全国","0.58",""
"2000年7月","00000","全国","0.60",""
"2000年8月","00000","全国","0.61",""
"2000年9月","00000","全国","0.62",""
"2000年10月","00000","全国","0.64",""
"2000年11月","00000","全国","0.65",""
"2000年12月","00000","全国","0.65",""
"2001年1月","00000","全国","0.65",""
"2001年2月","00000","全国","0.64",""
"2001年3月","00000","全国","0.63",""
"2001年4月","00000","全国","0.62",""
"2001年5月","00000","全国","0.61",""
"2001年6月","00000","全国","0.61",""
"2001年7月","00000","全国","0.60",""
"2001年8月","00000","全国","0.58",""
"2001年9月","00000","全国","0.57",""
"2001年10月","00000","全国","0.54",""
"2001年11月","00000","全国","0.52",""
"2001年12月","00000","全国","0.51",""
"2002年1月","00000","全国","0.50",""
"2002年2月","00000","全国","0.51",""
"2002年3月","00000","全国","0.52",""
"2002年4月","00000","全国","0.52",""
"2002年5月","00000","全国","0.53",""
"2002年6月","00000","全国","0.53",""
"2002年7月","00000","全国","0.54",""
"2002年8月","00000","全国","0.55",""
"2002年9月","00000","全国","0.55",""
"2002年10月","00000","全国","0.56",""
"2002年11月","00000","全国","0.56",""
"2002年12月","00000","全国","0.57",""
"2003年1月","00000","全国","0.58",""
"2003年2月","00000","全国","0.59",""
"2003年3月","00000","全国","0.60",""
"2003年4月","00000","全国","0.61",""
"2003年5月","00000","全国","0.61",""
"2003年6月","00000","全国","0.62",""
"2003年7月","00000","全国","0.63",""
"2003年8月","00000","全国","0.65",""
"2003年9月","00000","全国","0.67",""
"2003年10月","00000","全国","0.70",""
"2003年11月","00000","全国","0.72",""
"2003年12月","00000","全国","0.75",""
"2004年1月","00000","全国","0.76",""
"2004年2月","00000","全国","0.76",""
"2004年3月","00000","全国","0.77",""
"2004年4月","00000","全国","0.78",""
"2004年5月","00000","全国","0.80",""
"2004年6月","00000","全国","0.82",""
"2004年7月","00000","全国","0.83",""
"2004年8月","00000","全国","0.84",""
"2004年9月","00000","全国","0.86",""
"2004年10月","00000","全国","0.88",""
"2004年11月","00000","全国","0.91",""
"2004年12月","00000","全国","0.92",""
"2005年1月","00000","全国","0.91",""
"2005年2月","00000","全国","0.91",""
"2005年3月","00000","全国","0.93",""
"2005年4月","00000","全国","0.94",""
"2005年5月","00000","全国","0.94",""
"2005年6月","00000","全国","0.95",""
"2005年7月","00000","全国","0.96",""
"2005年8月","00000","全国","0.96",""
"2005年9月","00000","全国","0.96",""
"2005年10月","00000","全国","0.98",""
"2005年11月","00000","全国","0.99",""
"2005年12月","00000","全国","1.01",""
"2006年1月","00000","全国","1.03",""
"2006年2月","00000","全国","1.04",""
"2006年3月","00000","全国","1.05",""
"2006年4月","00000","全国","1.05",""
"2006年5月","00000","全国","1.07",""
"2006年6月","00000","全国","1.07",""
"2006年7月","00000","全国","1.08",""
"2006年8月","00000","全国","1.07",""
"2006年9月","00000","全国","1.07",""
"2006年10月","00000","全国","1.06",""
"2006年11月","00000","全国","1.06",""
"2006年12月","00000","全国","1.06",""
"2007年1月","00000","全国","1.06",""
"2007年2月","00000","全国","1.05",""
"2007年3月","00000","全国","1.05",""
"2007年4月","00000","全国","1.07",""
"2007年5月","00000","全国","1.07",""
"2007年6月","00000","全国","1.07",""
"2007年7月","00000","全国","1.06",""
"2007年8月","00000","全国","1.05",""
"2007年9月","00000","全国","1.03",""
"2007年10月","00000","全国","1.01",""
"2007年11月","00000","全国","0.98",""
"2007年12月","00000","全国","0.98",""
"2008年1月","00000","全国","0.97",""
"2008年2月","00000","全国","0.96",""
"2008年3月","00000","全国","0.96",""
"2008年4月","00000","全国","0.96",""
"2008年5月","00000","全国","0.95",""
"2008年6月","00000","全国","0.92",""
"2008年7月","00000","全国","0.89",""
"2008年8月","00000","全国","0.86",""
"2008年9月","00000","全国","0.83",""
"2008年10月","00000","全国","0.79",""
"2008年11月","00000","全国","0.75",""
"2008年12月","00000","全国","0.71",""
"2009年1月","00000","全国","0.64",""
"2009年2月","00000","全国","0.57",""
"2009年3月","00000","全国","0.52",""
"2009年4月","00000","全国","0.49",""
"2009年5月","00000","全国","0.46",""
"2009年6月","00000","全国","0.44",""
"2009年7月","00000","全国","0.43",""
"2009年8月","00000","全国","0.42",""
"2009年9月","00000","全国","0.43",""
"2009年10月","00000","全国","0.44",""
"2009年11月","00000","全国","0.44",""
"2009年12月","00000","全国","0.44",""
"2010年1月","00000","全国","0.45",""
"2010年2月","00000","全国","0.46",""
"2010年3月","00000","全国","0.48",""
"2010年4月","00000","全国","0.49",""
"2010年5月","00000","全国","0.50",""
"2010年6月","00000","全国","0.51",""
"2010年7月","00000","全国","0.53",""
"2010年8月","00000","全国","0.54",""
"2010年9月","00000","全国","0.55",""
"2010年10月","00000","全国","0.56",""
"2010年11月","00000","全国","0.58",""
"2010年12月","00000","全国","0.59",""
"2011年1月","00000","全国","0.60",""
"2011年2月","00000","全国","0.62",""
"2011年3月","00000","全国","0.62",""
"2011年4月","00000","全国","0.62",""
"2011年5月","00000","全国","0.61",""
"2011年6月","00000","全国","0.62",""
"2011年7月","00000","全国","0.64",""
"2011年8月","00000","全国","0.65",""
"2011年9月","00000","全国","0.67",""
"2011年10月","00000","全国","0.69",""
"2011年11月","00000","全国","0.71",""
"2011年12月","00000","全国","0.72",""
"2012年1月","00000","全国","0.74",""
"2012年2月","00000","全国","0.75",""
"2012年3月","00000","全国","0.77",""
"2012年4月","00000","全国","0.78",""
"2012年5月","00000","全国","0.79",""
"2012年6月","00000","全国","0.80",""
"2012年7月","00000","全国","0.81",""
"2012年8月","00000","全国","0.82",""
"2012年9月","00000","全国","0.81",""
"2012年10月","00000","全国","0.82",""
"2012年11月","00000","全国","0.82",""
"2012年12月","00000","全国","0.83",""
"2013年1月","00000","全国","0.84",""
"2013年2月","00000","全国","0.85",""
"2013年3月","00000","全国","0.87",""
"2013年4月","00000","全国","0.88",""
"2013年5月","00000","全国","0.90",""
"2013年6月","00000","全国","0.92",""
"2013年7月","00000","全国","0.93",""
"2013年8月","00000","全国","0.95",""
"2013年9月","00000","全国","0.96",""
"2013年10月","00000","全国","0.99",""
"2013年11月","00000","全国","1.01",""
"2013年12月","00000","全国","1.03",""
"2014年1月","00000","全国","1.04",""
"2014年2月","00000","全国","1.06",""
"2014年3月","00000","全国","1.07",""
"2014年4月","00000","全国","1.08",""
"2014年5月","00000","全国","1.09",""
"2014年6月","00000","全国","1.09",""
"2014年7月","00000","全国","1.10",""
"2014年8月","00000","全国","1.10",""
"2014年9月","00000","全国","1.10",""
"2014年10月","00000","全国","1.11",""
"2014年11月","00000","全国","1.12",""
"2014年12月","00000","全国","1.14",""
"2015年1月","00000","全国","1.15",""
"2015年2月","00000","全国","1.16",""
"2015年3月","00000","全国","1.16",""
"2015年4月","00000","全国","1.16",""
"2015年5月","00000","全国","1.18",""
"2015年6月","00000","全国","1.19",""
"2015年7月","00000","全国","1.20",""
"2015年8月","00000","全国","1.22",""
"2015年9月","00000","全国","1.23",""
"2015年10月","00000","全国","1.24",""
"2015年11月","00000","全国","1.26",""
"2015年12月","00000","全国","1.27",""
"2016年1月","00000","全国","1.29",""
"2016年2月","00000","全国","1.30",""
"2016年3月","00000","全国","1.31",""
"2016年4月","00000","全国","1.33",""
"2016年5月","00000","全国","1.35",""
"2016年6月","00000","全国","1.36",""
"2016年7月","00000","全国","1.36",""
"2016年8月","00000","全国","1.38",""
"2016年9月","00000","全国","1.38",""
"2016年10月","00000","全国","1.40",""
"2016年11月","00000","全国","1.41",""
"2016年12月","00000","全国","1.42",""
"2017年1月","00000","全国","1.43",""
"2017年2月","00000","全国","1.45",""
"2017年3月","00000","全国","1.46",""
"2017年4月","00000","全国","1.48",""
"2017年5月","00000","全国","1.48",""
"2017年6月","00000","全国","1.50",""
"2017年7月","00000","全国","1.51",""
"2017年8月","00000","全国","1.52",""
"2017年9月","00000","全国","1.53",""
"2017年10月","00000","全国","1.55",""
"2017年11月","00000","全国","1.56",""
"2017年12月","00000","全国","1.58",""
"2018年1月","00000","全国","1.60",""
"2018年2月","00000","全国","1.59",""
"2018年3月","00000","全国","1.59",""
"2018年4月","00000","全国","1.59",""
"2018年5月","00000","全国","1.59",""
"2018年6月","00000","全国","1.62",""
"2018年7月","00000","全国","1.63",""
"2018年8月","00000","全国","1.64",""
"2018年9月","00000","全国","1.64",""
"2018年10月","00000","全国","1.63",""
"2018年11月","00000","全国","1.63",""
"2018年12月","00000","全国","1.62",""
"2019年1月","00000","全国","1.64",""
"2019年2月","00000","全国","1.62",""
"2019年3月","00000","全国","1.63",""
"2019年4月","00000","全国","1.62",""
"2019年5月","00000","全国","1.61",""
"2019年6月","00000","全国","1.61",""
"2019年7月","00000","全国","1.60",""
"2019年8月","00000","全国","1.60",""
"2019年9月","00000","全国","1.59",""
"2019年10月","00000","全国","1.58",""
"2019年11月","00000","全国","1.57",""
"2019年12月","00000","全国","1.55",""
"2020年1月","00000","全国","1.51",""
"2020年2月","00000","全国","1.45",""
"2020年3月","00000","全国","1.40",""
"2020年4月","00000","全国","1.30",""
"2020年5月","00000","全国","1.18",""
"2020年6月","00000","全国","1.12",""
"2020年7月","00000","全国","1.09",""
"2020年8月","00000","全国","1.05",""
"2020年9月","00000","全国","1.04",""
"2020年10月","00000","全国","1.04",""
"2020年11月","00000","全国","1.05",""
"2020年12月","00000","全国","1.05",""
"2021年1月","00000","全国","1.10",""
"2021年2月","00000","全国","1.09",""
"2021年3月","00000","全国","1.10",""
"2021年4月","00000","全国","1.09",""
"2021年5月","00000","全国","1.09",""
"2021年6月","00000","全国","1.13",""
"2021年7月","00000","全国","1.15",""
"1963年1月","01000","北海道","0.91",""
"1963年2月","01000","北海道","0.97",""
"1963年3月","01000","北海道","1.01",""
"1963年4月","01000","北海道","1.05",""
"1963年5月","01000","北海道","1.11",""
"1963年6月","01000","北海道","1.15",""
"1963年7月","01000","北海道","1.31",""
"1963年8月","01000","北海道","1.45",""
"1963年9月","01000","北海道","0.96",""
"1963年10月","01000","北海道","0.95",""
"1963年11月","01000","北海道","0.96",""
"1963年12月","01000","北海道","0.86",""
"1964年1月","01000","北海道","0.85",""
"1964年2月","01000","北海道","0.92",""
"1964年3月","01000","北海道","0.91",""
"1964年4月","01000","北海道","0.96",""
"1964年5月","01000","北海道","0.94",""
"1964年6月","01000","北海道","0.91",""
"1964年7月","01000","北海道","1.19",""
"1964年8月","01000","北海道","1.44",""
"1964年9月","01000","北海道","1.15",""
"1964年10月","01000","北海道","1.06",""
"1964年11月","01000","北海道","0.96",""
"1964年12月","01000","北海道","0.99",""
"1965年1月","01000","北海道","0.94",""
"1965年2月","01000","北海道","0.85",""
"1965年3月","01000","北海道","0.87",""
"1965年4月","01000","北海道","0.89",""
"1965年5月","01000","北海道","0.80",""
"1965年6月","01000","北海道","0.83",""
